id,genre,title,artist
11,classical,"Biber: Sonata 6 in C Minor (from 8 Sonatas, 1681)",SCD
39,classical,Sinfonia in La Maggiore (Luigi Boccherini),Bezdin Ensemble
38,classical,Prelude (Phalese),Edward Martin
10,classical,Carnaval Opus 9 - Preambule,Cary Chow
12,classical,Trio Sonata in D minor-3. Allegro (Telemann),Voices of Music
13,classical,Chopin Prelude In E Major Opus 28,Ivan Ilic
48,classical,Suite in d minor - Allemande la Loureuse,Hanneke van Proosdij
60,classical,Chopin Prelude In B Minor Opus 28,Ivan Ilic
74,classical,BWV 1001 / IV. Presto,Lara St John
75,classical,Romance in B Major Opus 28 No.3 (Robert Schumann),Ivan Ilic
61,classical,Sonata II in D minor - Allegro,Musica Franca
49,classical,Stabat Mater (Antonio Vivaldi),Bezdin Ensemble
88,classical,Chopin Prelude In G Sharp Minor Opus 28,Ivan Ilic
77,classical,Chopin Prelude In A Flat Major Opus 28,Ivan Ilic
63,classical,Intermezzo in E Major Opus 116 No.6 (Johannes Brahms),Ivan Ilic
62,classical,Waltz KK IVa no.12 in E major,Janine Johnson
76,classical,Premier Concert - Coulicam (Rameau),Maryse Carlin
89,classical,Romance in F sharp Major Opus 28 No.2 (Robert Schumann),Ivan Ilic
99,classical,Triosonate fur Flute Violine und Basso - Dolce (Telemann),Telemann Trio Berlin
72,classical,BWV 1041 : I. Allegro,Lara St John
66,classical,Chopin Prelude In C Sharp Minor Opus 28,Ivan Ilic
8,classical,Suite in C Major-1 Prelude-Johann Gottfried Conradi,Edward Martin
9,classical,Sonnerie - from Handel Trio Sonatas,Magnatune Compilation
67,classical,Gagliard Seconda (Giovanni Battista Buonamente),Altri Stromenti
73,classical,Chopin Prelude In C Major Opus 28,Ivan Ilic
98,classical,La Moneverda (Tarquinio Merula),Altri Stromenti
65,classical,Trouble fete (Gorner),Janine Johnson
71,classical,Oxenford (Anon),La Primavera
59,classical,Sinfonia In Re Minore (Luigi Boccherini),Bezdin Ensemble
58,classical,If I were emperor,Bezdin Ensemble
70,classical,Suite No 4 in E flat major BWV 815: Allemande,Katherine Roberts Perl
64,classical,Sonata III in C major - Fuga da capella,Musica Franca
82,rock,The angle of repose,Shane Jackman
96,rock,Maybe Meagan,William Brooks
69,rock,Rocket City Riot: Hypodermic,Magnatune Compilation
41,rock,A Short Burst of Clarity,Mountain Mirrors
55,rock,Crown Of Thorns,Shawn Harris
7,rock,Texas Sky,Val Davis
54,rock,Between there and here,William Brooks
6,rock,Shattered,Russ Hopkins
40,rock,Encima de Ti,Arthur Yoria
68,rock,Brad Sucks - I Think I Started a Trend,Magnatune Compilation
97,rock,Ring around the rosey,Barbara Leoni
83,rock,Set fire to the city,Shane Jackman
95,rock,Cornflakes for supper,Shane Jackman
81,rock,Waterfall,Barbara Leoni
4,rock,When I Cross The River,Tom Bolton
56,rock,Come Out Baby,Big Bad Sun
42,rock,Stay Evil,Mountain Mirrors
43,rock,Lust,MRDC
5,rock,Birds in a Rat Race (Mountain Mirrors),DJ Cary
57,rock,Making Circles,The Seldon Plan
80,rock,You Bow Down,Greg Annussek
94,rock,Sunday Again,Greg Annussek
90,rock,Didn't You Know?,Greg Annussek
84,rock,I have a mind,William Brooks
53,rock,Ole Soledad,William Brooks
1,rock,Young Again,Greg Annussek
47,rock,Certain Death,Brad Sucks
46,rock,Just Like You,Arthur Yoria
52,rock,Fateful Kind Of Rage,Hybris
85,rock,In the Movies,Greg Annussek
91,rock,Didn't I,Shane Jackman
87,rock,Walk among the bones,Shane Jackman
93,rock,My heart still beats,Shane Jackman
44,rock,Juego,Mutandina
2,rock,What I did on my summer vacation,Shane Jackman
50,rock,New Orleans,Spinecar
78,rock,Uncommon eloquence,Shane Jackman
79,rock,Land of Lincoln,William Brooks
3,rock,Demons,Barbara Leoni
51,rock,Permanent,Arthur Yoria
45,rock,Gold and rose,Myles Cochran
92,rock,Driftwood fire,Shane Jackman
86,rock,Human needs,Barbara Leoni
22,rock,Long Time Wondering,Big Bad Sun
36,rock,Look And Feel Years Younger,Brad Sucks
37,rock,Rocket City Riot: Down with Her,Magnatune Compilation
23,rock,Don't rain on my parade,Barbara Leoni
35,rock,Lunar Ecstasy,Mountain Mirrors
21,rock,Factory Head,Broken Poets
20,rock,Suerte Mijo,Arthur Yoria
34,rock,Me,Lizzi
30,rock,Timeagain,hands upon black earth
24,rock,Happy Blues,Burnshee Thornside
18,rock,Moonsong,Shane Jackman
19,rock,Of the Lovely,Arthur Yoria
25,rock,Bad Bad Luck,Burnshee Thornside
31,rock,Squalid Rooms,Hybris
27,rock,There You Were,Grayson Wray
33,rock,You Knew It Well,Jeffrey Luck Lucas
32,rock,Rock This Moon,Burnshee Thornside
26,rock,Can I be a star:,Burnshee Thornside
17,rock,Into the Moon,Brad Senne
16,rock,Sweet Melissa,Big Bad Sun
28,rock,Before you know it,Tom Paul
14,rock,Memories,Shawn Harris
15,rock,Talk,The Union Trade
29,rock,Santa Rosa Shuffle,Seismic Anamoly
100,rock,Mr. Myers,Greg Annussek
11,rock,The Spirit,Big Bad Sun
39,rock,Kings of the Desert,Mandrake Root
38,rock,Fluid - Headphones,Magnatune Compilation
10,rock,The Soul,Broken Poets
12,rock,Dopamine,MRDC
13,rock,Alone with Nothing,Brad Senne
48,rock,Try it Like This,William Brooks
60,rock,Jazz House,Wicked Allstars
74,rock,In Your Place,Immune
75,rock,Long Way Down,Greg Annussek
61,rock,Pressure,Wicked boy
49,rock,Caroline to Maine,Brad Senne
88,rock,You barely see me,William Brooks
77,rock,Another time,Barbara Leoni
63,rock,Karma Dogs,William Brooks
62,rock,The Gift,William Brooks
76,rock,Hideaway,William Brooks
89,rock,Haunted,Barbara Leoni
99,rock,Justified,William Brooks
72,rock,Long Way Down,Greg Annussek
66,rock,Karma Dogs:,William Brooks
8,rock,Self Possession,The Union Trade
9,rock,Dropping out of School,Brad Sucks
67,rock,Silent Wings,William Brooks
73,rock,World,William Brooks
98,rock,He Should Love Her,Greg Annussek
65,rock,Do You Think He Knows:,William Brooks
71,rock,Underside,Lie Big
59,rock,Essence of a smile,Tom Paul
58,rock,A Rhyming Dictionary,The Seldon Plan
70,rock,Hideaway,William Brooks
64,rock,Grace,William Brooks
82,electronic,Other Self,Kenji Williams
96,electronic,Frequencies,Solar Cycle
69,electronic,Sunlight,Solar Cycle
41,electronic,Delirious,Human Response
55,electronic,Mad bull,Processor
7,electronic,Electro Jive,Mantic
54,electronic,Plethora,MRDC
6,electronic,Blue-tinted Sunglasses,Mantic
40,electronic,Vernal Equinox,Glen Bledsoe
68,electronic,Kushee Maanao-Aural Mix,Solace
97,electronic,Night to Remember,Solar Cycle
83,electronic,Illusion (Bedrock mix),Kenji Williams
95,electronic,Easter,Solar Cycle
81,electronic,Wind Barber,Zilla
4,electronic,Beneath the Skin,Jerry Berlongieri
56,electronic,Insomnia,Processor
42,electronic,Survival,Human Response
43,electronic,Knucklehead,iNTROSPEKT
5,electronic,Eye Heart Knot,General Fuzz
57,electronic,A Signal from Mars,Professor Armchair
80,electronic,Buy my pullovers,Wicked boy
94,electronic,Flying,Solar Cycle
90,electronic,Flare,Solar Cycle
84,electronic,Never Look Away,Kenji Williams
53,electronic,ting,Mr Gelatine
1,electronic,Abstract Power Remix (by DiViD),Mantic
47,electronic,Spirit Walker,Kenji Williams
46,electronic,Deep House,Mantic
52,electronic,Down Low,mr Epic
85,electronic,Death and rain,Kenji Williams
91,electronic,Cafe del Soul,Solar Cycle
87,electronic,Tokyo Story,Kenji Williams
93,electronic,Devil in Love,Solar Cycle
44,electronic,Sartinal I,Ivilion
2,electronic,Sproing-A-Dub,Burning Babylon
50,electronic,Memories of Tomorrow,Memories of Tomorrow
78,electronic,Monkey Party,The Headroom Project
79,electronic,Double trust,Version
3,electronic,Dominus Illuminato Mea,The Headroom Project
51,electronic,Click Here,Mijo
45,electronic,Ferrilotyr,Ivilion
92,electronic,Vibes of Comfort,Solar Cycle
86,electronic,2k1,Kenji Williams
22,electronic,Electro Kinetic,Mantic
36,electronic,Terminus,The Rapture
37,electronic,Opening yet closing,Etherine
23,electronic,Talk Box,Mantic
35,electronic,Meditation,Domased
21,electronic,Viva La Revolucion,Shiva in Exile
20,electronic,Revolver (Featuring Canola Tenderfoot),Kalabi
34,electronic,He Is Leaving Us,Domased
30,electronic,Sunset (138 BPM Remix),DJ Markitos
24,electronic,Blue Line,AntiGuru
18,electronic,Distant Activity,Adam Fielding
19,electronic,grey mirrors part 1,the glimmer room
25,electronic,trioxidation,Bjorn Fogelberg
31,electronic,Manteia,DJ Markitos
27,electronic,Ruff and Tumble (Mr Epic),DJ Cary
33,electronic,Bad Dreams,Domased
32,electronic,Summer Night Heaven,Domased
26,electronic,Hans Christian : Desperado,DJ Cary
17,electronic,Introduction,Kourosh Dini
16,electronic,Starbase Lounge Music,Mantic
28,electronic,Sunset (Endless Night Journey remix),DJ Markitos
14,electronic,Spear Burn,Mantic
15,electronic,Roots Fi Cool,Burning Babylon
29,electronic,Interplanetary Travel,DJ Markitos
100,electronic,Shura Remix (Deadpan Escapement vinyl only release),Mantic
11,electronic,Skunk Werks,Mantic
39,electronic,BeatKnick,Glen Bledsoe
38,electronic,Lost,Etherine
10,electronic,Murder Machine,Saros
12,electronic,moments of clarity,Joram
13,electronic,7 Nine Skank,Burning Babylon
48,electronic,Mr Gelatine: Unknown Quantity,Magnatune Compilation
60,electronic,Odysseia,Shiva in Exile
74,electronic,Ambi Crack,Strojovna 07
75,electronic,Untitled,Strojovna 07
61,electronic,Solitude (Khlas 6-8),Solace
49,electronic,Where the Earth Is,The Rapture
88,electronic,Free Energy ,Kenji Williams
77,electronic,African Dance,The Headroom Project
63,electronic,Saalik,Solace
62,electronic,Ping Heng,Solace
76,electronic,Push,The Bots
89,electronic,Soul Captain,Kenji Williams
99,electronic,Viento,Solar Cycle
72,electronic,Zabudni na to,Strojovna 07
66,electronic,Rebirth,Solace
8,electronic,House Of Tomorrow,Twilight Archive
9,electronic,Known Bugs,Jerry Berlongieri
67,electronic,Paradise lost,Solace
73,electronic,Lighting fly,Strojovna 07
98,electronic,Smooth Guitar,Solar Cycle
65,electronic,Darban Jooth Na Boley (The Mirror Never Lies) ,Solace
71,electronic,Dezert,Strojovna 07
59,electronic,Eventide,Saros
58,electronic,Futurengine,Psychetropic
70,electronic,From Here to There,Stargarden
64,electronic,Beledi  4:4,Solace
82,pop,Don't Do Me No Harm,Beight
96,pop,Another Reason,Hazelmain
69,pop,Brilliant Daze (Days Are Confused Mix) - Pat Chilla,Magnatune Remixed
41,pop,Give Me a Perfect World,Sun Palace
55,pop,There Once Was A Time ,Sun Palace
7,pop,Drink the Night,Hazelmain
54,pop,rubber,Williamson
6,pop,Fifteen Minutes,John Jackson
40,pop,Excerpt From Alice,Self Delusion
68,pop,Night Flight Over Water,Michael Joy
97,pop,Devil's Daughter,Norine Braun
83,pop,Say you Will,Hazelmain
95,pop,Sandy,Arthur Yoria
81,pop,Jimmy's Rig,Arthur Yoria
4,pop,Persephone,Norine Braun
56,pop,The Collider,C Layne
42,pop,Into Heaven ,Sun Palace
43,pop,Impressions,The Kokoon
5,pop,Sanctuary ,Shane Jackman
57,pop,Round and Round,Sun Palace
80,pop,Better Days,Hazelmain
94,pop,Cruel Streak,Norine Braun
90,pop,Cuttin a Rug,Arthur Yoria
84,pop,Fools,Norine Braun
53,pop,Wounded Little Bird,Norine Braun
1,pop,Beyond Late,Brad Senne
47,pop,2 percent er,Williamson
46,pop,Enertia,TranceVision
52,pop,Slipping into Violet,Norine Braun
85,pop,Love Song in G,Arthur Yoria
91,pop,Superhero Song,Beight
87,pop,Get What You Want?,Beight
93,pop,Without Warning,Beight
44,pop,Calling ,The Kokoon
2,pop,To Climb,Michael Joy
50,pop,River of Light,Michael Joy
78,pop,Handshake Smiles,Arthur Yoria
79,pop,No More,Norine Braun
3,pop,Salem,Norine Braun
51,pop,Between The Lies,Michael Joy
45,pop,Nocturne,The West Exit
92,pop,Lillas,Hazelmain
86,pop,Ovelha negra (Black sheep),Anamar
22,pop,Brilliant Day (Chronic Mix),Four Stones
36,pop,Modern Anguish,Norine Braun
37,pop,Jade,Norine Braun
23,pop,Till My Cup Runs Over,Four Stones
35,pop,Frontliner Blues,Norine Braun
21,pop,Mercurial Girl,Five Star Fall
20,pop,something about eve ,Falling You
34,pop,The lonely minstrel part 1 (edited version),Minstrel Spirit
30,pop,Sooner or Later,Hazelmain
24,pop,Fire,John Jackson
18,pop,Call me Snake (Dr Kuch),DJ Cary
19,pop,Destiny Trip,Falling You
25,pop,Brilliant Day,Lisa DeBenedictis
31,pop,Fountain Street,Mercy Machine
27,pop,Tigers,Lisa DeBenedictis
33,pop,30 Years,Mercy Machine
32,pop,Bastard,Mercy Machine
26,pop,Below-DU-remix by deutscheunschuld,Lisa DeBenedictis
17,pop,Calm (Ammonite),DJ Cary
16,pop,Fly Free,Curl
28,pop,Shining Star Games (Az Egan Csillag Lenni) - Fourstones,Magnatune Remixed
14,pop,You are the reason,C Layne
15,pop,Ghostly Feeling,Beight
29,pop,Pais oceano (Ocean Country),Anamar
100,pop,The One That Got Away,Norine Braun
11,pop,Fountain of Life (Lean On It Mix) - DJ Anser,Artemis
39,pop,Laying Down Lounge,Four Stones
38,pop,The River,Plunkett
10,pop,A Moment too Soon,Hazelmain
12,pop,Invisible City,Beight
13,pop,File in Rhythm,Beight
48,pop,Moonrise,Yongen
60,pop,Charming Gun (Vibe Me Mix) - Nautilis,Artemis
74,pop,In The Middle,Beight
75,pop,Clean For Free,Arthur Yoria
61,pop,Changing Sky,Artemis
49,pop,Rise,Yongen
88,pop,O Pobre (The Pauper),Anamar
77,pop,Fill Me Up,Beight
63,pop,Up A Hill,Plunkett
62,pop,Parallels,Beight
76,pop,Home to You,Hazelmain
89,pop,One Breath,Norine Braun
99,pop,Junior High Smiles,Beight
72,pop,Planet You,Lisa DeBenedictis
66,pop,Give Me Love,Norine Braun
8,pop,The Alkonost,C Layne
9,pop,A Warning to Giants,Falling You
67,pop,My Joan Of Arc,Mercy Machine
73,pop,Wounded Little Bird,Norine Braun
98,pop,I Told You Not to Write Again,Arthur Yoria
65,pop,Now and Zen,Norine Braun
71,pop,What Planet Are We On,Five Star Fall
59,pop,Give Me Love,Norine Braun
58,pop,Unemotional,Self Delusion
70,pop,Below,Lisa DeBenedictis
64,pop,Just My Luck,C Layne
